symbol,pcr_date,trade_date,pcr_value,pcr_rank,entry_timestamp,entry_price,rsi14,rsi14_mean100,quantity,capital_used,stop_loss_price,take_profit_price,exit_timestamp,exit_price,exit_reason,gross_pnl,pnl_pct
CME,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1353628703452025,8.0,2025-08-06 09:45:00,280.5875,38.041649695883514,33.83051695450892,3,841.7624999999999,273.5728125,287.60218749999996,2025-08-08 15:59:00,282.17,WEEK_END_CLOSE,4.747500000000116,0.563995188666655
CVS,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1344810713074705,7.0,2025-08-06 09:45:00,63.11,50.207614860717946,45.73601469732973,15,946.65,61.53225,64.68775,2025-08-08 10:34:00,64.68775,TAKE_PROFIT,23.66624999999992,2.499999999999991
LIN,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0484429065743944,3.0,2025-08-06 09:49:00,470.36,56.79211971260369,53.21105622633141,2,940.72,458.601,482.11899999999997,2025-08-08 15:59:00,472.42,WEEK_END_CLOSE,4.1200000000000045,0.43796241176969897
FDX,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0038675678426435,1.0,2025-08-06 09:52:00,222.92,58.20388779388993,57.306734082442134,4,891.68,217.34699999999998,228.49299999999997,2025-08-07 09:30:00,228.75,TAKE_PROFIT_GAP,23.32000000000005,2.615287995693527
APD,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1270718232044199,6.0,2025-08-06 09:55:00,292.045,53.318355294415795,51.69001663031349,3,876.135,284.743875,299.346125,2025-08-08 15:59:00,288.46,WEEK_END_CLOSE,-10.75500000000011,-1.227550548716816
RSG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0833333333333333,5.0,2025-08-06 10:17:00,232.615,48.57793528807152,46.141395036960425,4,930.46,226.799625,238.430375,2025-08-08 15:59:00,235.35,WEEK_END_CLOSE,10.93999999999994,1.1757625260623739
AON,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0357142857142857,2.0,2025-08-06 10:20:00,359.215,44.097292848106164,43.486378589789794,2,718.43,350.234625,368.19537499999996,2025-08-08 15:59:00,366.37,WEEK_END_CLOSE,14.31000000000006,1.9918433250281975
SNDK,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0666666666666666,4.0,2025-08-06 10:30:00,42.16,59.472850541988066,53.71717289176993,23,969.68,41.105999999999995,43.21399999999999,2025-08-07 11:06:00,41.105999999999995,STOP_LOSS,-24.242000000000047,-2.500000000000002
CMCSA,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1527289126054558,9.0,2025-08-06 10:34:00,32.453,47.44739554928206,46.34510048356417,30,973.5900000000001,31.641675000000003,33.264325,2025-08-07 15:52:00,31.641675000000003,STOP_LOSS,-24.339750000000002,-2.500000000000002
MSI,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1826923076923076,10.0,2025-08-06 11:19:00,441.43,63.690051734445696,63.5355530362803,2,882.86,430.39425,452.46574999999996,2025-08-08 09:32:00,452.46574999999996,TAKE_PROFIT,22.0714999999999,2.499999999999991
KKR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0176446393875865,3.0,2025-08-07 09:49:00,145.35,50.69205225259806,49.40741568291859,6,872.0999999999999,141.71625,148.98375,2025-08-07 12:01:00,141.71625,STOP_LOSS,-21.802499999999952,-2.499999999999991
FDX,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0110229892043356,2.0,2025-08-07 09:57:00,228.35,54.16803902989522,52.3833621720538,4,913.4,222.64124999999999,234.05874999999997,2025-08-08 09:46:00,222.64124999999999,STOP_LOSS,-22.835000000000036,-2.500000000000002
DLR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0362852778107015,6.0,2025-08-07 09:59:00,170.16,52.46661467226839,48.995007597011465,5,850.8,165.906,174.414,2025-08-08 15:59:00,169.96,WEEK_END_CLOSE,-0.9999999999999432,-0.11753643629524024
AJG,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0335820895522388,5.0,2025-08-07 10:28:00,286.31,53.44666762437855,48.968470691110916,3,858.9300000000001,279.15225,293.46774999999997,2025-08-08 10:17:00,293.46774999999997,TAKE_PROFIT,21.473249999999894,2.499999999999991
CDNS,2025-08-06 00:00:00,2025-08-07 00:00:00,0.1436651583710407,10.0,2025-08-07 10:29:00,356.97,49.23396218272302,44.00715379158198,2,713.94,348.04575,365.89425,2025-08-08 15:59:00,352.38,WEEK_END_CLOSE,-9.180000000000064,-1.2858223380116107
CMI,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0422077922077922,7.0,2025-08-07 10:54:00,380.2699,48.11010460183854,44.938636819447204,2,760.5398,370.7631525,389.77664749999997,2025-08-08 10:07:00,389.77664749999997,TAKE_PROFIT,19.01349499999992,2.499999999999991
SNDK,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0217391304347826,4.0,2025-08-07 11:17:00,41.065,41.9435543226302,41.20088774013655,24,985.56,40.038374999999995,42.09162499999999,2025-08-08 09:45:00,42.09162499999999,TAKE_PROFIT,24.638999999999896,2.499999999999991
MCO,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0909090909090909,9.0,2025-08-07 11:21:00,517.34,47.89358532235251,46.709230507193865,1,517.34,504.4065,530.2735,2025-08-08 15:59:00,515.3,WEEK_END_CLOSE,-2.0400000000000773,-0.3943248154018808
KKR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0176446393875865,3.0,2025-08-07 12:13:00,141.605,44.940149484713416,40.897861506374134,7,991.2349999999999,138.064875,145.14512499999998,2025-08-08 15:59:00,142.67,WEEK_END_CLOSE,7.454999999999984,0.7520920871438186
SPGI,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0327922077922077,5.0,2025-08-08 09:46:00,559.325,54.624559051667624,53.71522490837739,1,559.325,545.3418750000001,573.308125,2025-08-08 15:59:00,556.08,WEEK_END_CLOSE,-3.2450000000000045,-0.5801635900415714
NSC,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0226440226440226,3.0,2025-08-08 09:49:00,281.41,56.6315510052204,54.3865008781573,3,844.23,274.37475,288.44525,2025-08-08 15:59:00,279.93,WEEK_END_CLOSE,-4.440000000000055,-0.5259230304537899
FDX,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0276833544528699,4.0,2025-08-08 09:51:00,223.8626,51.793009242884516,40.29624916027469,4,895.4504,218.266035,229.45916499999996,2025-08-08 15:59:00,227.97,WEEK_END_CLOSE,16.42960000000005,1.834786159010049
WELL,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0666666666666666,9.0,2025-08-08 09:59:00,170.465,53.11586276381429,52.67436176819036,5,852.325,166.203375,174.72662499999998,2025-08-08 15:59:00,168.17,WEEK_END_CLOSE,-11.47500000000008,-1.3463174258645516
JCI,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0050847457627118,2.0,2025-08-08 10:02:00,105.145,60.30495773285708,59.0951476804394,9,946.305,102.516375,107.77362499999998,2025-08-08 15:59:00,105.51,WEEK_END_CLOSE,3.285000000000082,0.347139664273155
