symbol,pcr_date,trade_date,pcr_value,pcr_rank,entry_timestamp,entry_price,rsi14,rsi14_mean100,quantity,capital_used,stop_loss_price,take_profit_price,exit_timestamp,exit_price,exit_reason,gross_pnl,pnl_pct
CVS,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1005330781848004,9.0,2025-08-06 09:45:00,63.11,50.207614860717946,45.73601469732973,15,946.65,61.216699999999996,65.0033,2025-08-08 12:14:00,65.0033,TAKE_PROFIT,28.399499999999946,3.0000000000000027
USB,2025-08-05 00:00:00,2025-08-06 00:00:00,0.038619556285949,4.0,2025-08-06 09:46:00,44.6421,52.44385614491096,52.02224570650526,22,982.1261999999999,43.302837,45.981363,2025-08-08 15:59:00,44.86,WEEK_END_CLOSE,4.7938000000000045,0.48810427824856895
IBM,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1171802054154995,10.0,2025-08-06 09:48:00,250.445,54.17112852947114,52.01704190847857,3,751.335,242.93165,257.95835,2025-08-08 13:01:00,242.93165,STOP_LOSS,-22.540050000000008,-3.0000000000000027
LIN,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0484429065743944,5.0,2025-08-06 09:49:00,470.36,56.79211971260369,53.21105622633141,2,940.72,456.2492,484.47080000000005,2025-08-08 15:59:00,472.42,WEEK_END_CLOSE,4.1200000000000045,0.43796241176969897
FDX,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0046893317702227,1.0,2025-08-06 09:52:00,222.92,58.20388779388993,57.306734082442134,4,891.68,216.23239999999998,229.6076,2025-08-07 09:33:00,229.6076,TAKE_PROFIT,26.750400000000013,3.0000000000000027
ISRG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0792540792540792,7.0,2025-08-06 10:00:00,478.67,50.792522893584874,45.998320050454765,2,957.34,464.3099,493.0301,2025-08-07 12:06:00,464.3099,STOP_LOSS,-28.720199999999977,-3.0000000000000027
RSG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0833333333333333,8.0,2025-08-06 10:17:00,232.615,48.57793528807152,46.141395036960425,4,930.46,225.63655,239.59345000000002,2025-08-08 15:59:00,235.35,WEEK_END_CLOSE,10.93999999999994,1.1757625260623739
AON,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0357142857142857,3.0,2025-08-06 10:20:00,359.215,44.097292848106164,43.486378589789794,2,718.43,348.43854999999996,369.99145,2025-08-08 15:59:00,366.37,WEEK_END_CLOSE,14.31000000000006,1.9918433250281975
SNDK,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0666666666666666,6.0,2025-08-06 10:30:00,42.16,59.472850541988066,53.71717289176993,23,969.68,40.895199999999996,43.4248,2025-08-07 11:10:00,40.895199999999996,STOP_LOSS,-29.090400000000024,-3.0000000000000027
CMCSA,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0082417582417582,2.0,2025-08-06 10:34:00,32.453,47.44739554928206,46.34510048356417,30,973.5900000000001,31.47941,33.426590000000004,2025-08-08 15:59:00,31.665,WEEK_END_CLOSE,-23.640000000000114,-2.428126829568922
BX,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0429487179487179,9.0,2025-08-07 09:49:00,170.13,49.186024044865036,48.02147874412731,5,850.65,165.02609999999999,175.2339,2025-08-08 15:59:00,168.97,WEEK_END_CLOSE,-5.799999999999983,-0.6818315405866082
KKR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0131578947368421,2.0,2025-08-07 09:49:00,145.35,50.69205225259806,49.40741568291859,6,872.0999999999999,140.9895,149.7105,2025-08-07 12:41:00,140.9895,STOP_LOSS,-26.16300000000001,-3.0000000000000027
FDX,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0134907251264755,3.0,2025-08-07 09:57:00,228.35,54.16803902989522,52.3833621720538,4,913.4,221.49949999999998,235.2005,2025-08-08 15:59:00,227.97,WEEK_END_CLOSE,-1.5199999999999818,-0.16641121086051758
DLR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0138888888888888,4.0,2025-08-07 09:59:00,170.16,52.46661467226839,48.995007597011465,5,850.8,165.05519999999999,175.2648,2025-08-08 15:59:00,169.96,WEEK_END_CLOSE,-0.9999999999999432,-0.11753643629524024
KMI,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0408010012515644,7.0,2025-08-07 10:02:00,27.095,57.95099485085113,55.545006167757435,36,975.42,26.282149999999998,27.90785,2025-08-08 15:59:00,26.885,WEEK_END_CLOSE,-7.559999999999903,-0.7750507473703538
AJG,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0335820895522388,6.0,2025-08-07 10:28:00,286.31,53.44666762437855,48.968470691110916,3,858.9300000000001,277.7207,294.8993,2025-08-08 15:59:00,289.44,WEEK_END_CLOSE,9.389999999999986,1.0932206349760776
APD,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0821917808219178,10.0,2025-08-07 10:36:00,290.34,50.173443733634045,48.197378949412894,3,871.02,281.6298,299.05019999999996,2025-08-08 15:59:00,288.46,WEEK_END_CLOSE,-5.639999999999986,-0.6475167045532859
CMI,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0422077922077922,8.0,2025-08-07 10:54:00,380.2699,48.11010460183854,44.938636819447204,2,760.5398,368.861803,391.677997,2025-08-08 15:59:00,387.36,WEEK_END_CLOSE,14.180200000000013,1.8644915098460446
SNDK,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0217391304347826,5.0,2025-08-07 11:17:00,41.065,41.9435543226302,41.20088774013655,24,985.56,39.83305,42.296949999999995,2025-08-08 09:47:00,42.296949999999995,TAKE_PROFIT,29.566799999999944,3.0000000000000027
KKR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0131578947368421,2.0,2025-08-07 12:50:00,141.07,45.8729547553229,42.14702044771503,7,987.49,136.8379,145.3021,2025-08-08 15:59:00,142.67,WEEK_END_CLOSE,11.19999999999996,1.1341887006450557
SPGI,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0178571428571428,3.0,2025-08-08 09:46:00,559.325,54.624559051667624,53.71522490837739,1,559.325,542.54525,576.1047500000001,2025-08-08 15:59:00,556.08,WEEK_END_CLOSE,-3.2450000000000045,-0.5801635900415714
NSC,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0219780219780219,4.0,2025-08-08 09:49:00,281.41,56.6315510052204,54.3865008781573,3,844.23,272.96770000000004,289.8523,2025-08-08 15:59:00,279.93,WEEK_END_CLOSE,-4.440000000000055,-0.5259230304537899
MS,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0291746914901205,5.0,2025-08-08 09:59:00,141.64,55.41716563824139,54.20446819834427,7,991.4799999999999,137.39079999999998,145.8892,2025-08-08 15:59:00,143.21,WEEK_END_CLOSE,10.990000000000151,1.1084439423891812
